score,physics_rank
699,20
698,25
697,31
696,36
695,45
694,58
693,67
692,82
691,101
690,115
689,133
688,152
687,173
686,198
685,228
684,258
683,286
682,313
681,356
680,390
679,429
678,472
677,527
676,581
675,626
674,690
673,750
672,835
671,910
670,976
669,1073
668,1159
667,1268
666,1376
665,1497
664,1615
663,1731
662,1861
661,2007
660,2133
659,2288
658,2461
657,2637
656,2797
655,2967
654,3155
653,3363
652,3573
651,3792
650,4041
649,4295
648,4551
647,4810
646,5085
645,5353
644,5626
643,5917
642,6187
641,6515
640,6887
639,7234
638,7581
637,7975
636,8326
635,8721
634,9119
633,9460
632,9891
631,10326
630,10774
629,11251
628,11704
627,12155
626,12649
625,13155
624,13673
623,14220
622,14782
621,15379
620,15967
619,16558
618,17131
617,17776
616,18414
615,19064
614,19740
613,20441
612,21132
611,21880
610,22633
609,23390
608,24166
607,24931
606,25699
605,26592
604,27404
603,28216
602,29114
601,29981
600,30891
599,31751
598,32658
597,33591
596,34545
595,35512
594,36461
593,37468
592,38483
591,39503
590,40553
589,41597
588,42702
587,43778
586,44848
585,46000
584,47139
583,48306
582,49462
581,50632
580,51787
579,53022
578,54275
577,55513
576,56757
575,58008
574,59294
573,60565
572,61895
571,63143
570,64458
569,65799
568,67126
567,68512
566,69902
565,71370
564,72794
563,74215
562,75632
561,77025
560,78474
559,79932
558,81344
557,82850
556,84318
555,85803
554,87279
553,88784
552,90339
551,91804
550,93426
549,95010
548,96576
547,98198
546,99827
545,101373
544,103094
543,104842
542,106482
541,108187
540,109866
539,111604
538,113341
537,115086
536,116813
535,118524
534,120336
533,122049
532,123827
531,125614
530,127337
529,129179
528,130960
527,132758
526,134586
525,136295
524,138099
523,139930
522,141658
521,143531
520,145272
519,147090
518,148886
517,150679
516,152522
515,154348
514,156102
513,157899
512,159692
511,161531
510,163363
509,165139
508,166949
507,168733
506,170488
505,172332
504,174089
503,175889
502,177675
501,179583
500,181455
499,183291
498,185126
497,186874
496,188729
495,190526
494,192259
493,194034
492,195831
491,197614
490,199349
489,201094
488,202839
487,204651
486,206447
485,208148
484,209866
483,211659
482,213423
481,215221
480,216893
479,218594
478,220260
477,221980
476,223618
475,225415
474,227136
473,228960
472,230651
471,232331
470,234020
469,235723
468,237395
467,239102
466,240795
465,242445
464,244093
463,245785
462,247465
461,249121
460,250839
459,252495
458,254164
457,255864
456,257464
455,259117
454,260737
453,262321
452,263921
451,265543
450,267122
449,268686
448,270186
447,271749
446,273336
445,274848
444,276329
443,277860
442,279395
441,280923
440,282455
439,283947
438,285426
437,286981
436,288453
435,289883
434,291350
433,292747
432,294215
431,295626
430,297032
429,298439
428,299837
427,301254
426,302585
425,303919
424,305250
423,306570
422,307888
421,309216
420,310504
419,311860
418,313109
417,314385
416,315639
415,316890
414,318141
413,319373
412,320571
411,321790
410,322973
409,324134
408,325310
407,326484
406,327707
405,328773
404,329909
403,331116
402,332233
401,333350
400,334500
399,335581
398,336599
397,337660
396,338736
395,339821
394,340857
393,341909
392,342964
391,343982
390,345015
389,346015
388,347003
387,347952
386,348943
385,349871
384,350855
383,351801
382,352731
381,353650
380,354537
379,355450
378,356373
377,357363
376,358249
375,359114
374,360042
373,360968
372,361843
371,362693
370,363579
369,364393
368,365231
367,366027
366,366837
365,367663
364,368459
363,369242
362,369975
361,370772
360,371570
359,372328
358,373067
357,373810
356,374504
355,375234
354,376024
353,376731
352,377407
351,378136
350,378821
349,379513
348,380214
347,380922
346,381590
345,382271
344,382963
343,383631
342,384266
341,384914
340,385550
339,386177
338,386840
337,387490
336,388115
335,388763
334,389395
333,390006
332,390606
331,391191
330,391774
329,392380
328,392953
327,393535
326,394126
325,394691
324,395278
323,395868
322,396401
321,396964
320,397455
319,398028
318,398580
317,399142
316,399679
315,400192
314,400712
313,401214
312,401760
311,402260
310,402757
309,403232
308,403742
307,404211
306,404696
305,405203
304,405652
303,406114
302,406559
301,407028
300,407474
299,407979
298,408456
297,408878
296,409346
295,409791
294,410251
293,410659
292,411079
291,411485
290,411920
289,412327
288,412723
287,413124
286,413538
285,413950
284,414350
283,414742
282,415122
281,415514
280,415896
279,416272
278,416654
277,417020
276,417353
275,417718
274,418103
273,418434
272,418789
271,419142
270,419440
269,419754
