score,physics_rank,history_rank
283,416183,267724
282,416677,268270
281,417156,268804
280,417650,269329
279,,269815
278,418540,270322
277,419028,270772
276,419495,271237
275,419936,271701
274,420364,272172
273,420767,272592
272,421197,273015
271,421618,273449
270,421993,273888
269,422367,274311
268,422730,274723
267,423109,275131
266,423498,275515
265,423884,275911
264,424241,276297
263,424646,276660
262,424987,277003
261,425334,277374
260,425695,277723
259,426026,278026
258,426346,278371
257,426676,278714
256,427000,279050
255,427338,279353
254,427639,279663
253,427941,279973
252,428237,280291
251,428522,280563
250,428819,280862
249,429106,281125
248,429372,281396
247,429655,281667
246,429904,281942
245,430184,282180
244,430443,282442
243,430666,282678
242,430889,282923
241,431144,283136
240,431391,283368
239,431641,283579
238,431883,283796
237,432111,283998
236,432316,284216
235,432535,284424
234,432732,284623
233,432948,284796
232,433127,284988
231,433310,285168
230,433511,285346
229,433691,285497
228,,285674
227,434058,285844
226,434246,285987
225,434435,286157
224,434595,286288
223,434748,286436
222,434891,286583
221,435041,286744
220,435188,286860
219,435343,286999
218,435505,287112
217,435630,287255
216,435766,287383
215,435882,287507
214,436004,287625
213,436112,287737
212,436227,287844
211,436322,287965
210,436412,288071
209,436529,288177
208,436638,288296
207,436735,288406
206,436837,288502
205,436918,288605
204,437013,288698
203,437092,288801
202,437181,288892
201,437271,288968
200,437354,289048
199,437434,289124
198,437513,289211
197,437589,289288
196,437662,289376
195,437749,289451
194,437809,289530
193,437874,289609
192,437941,289685
191,438002,289742
190,438064,289816
189,438127,289886
188,438200,289943
187,438258,290007
186,438313,290090
185,438377,290155
184,438413,290224
183,438466,290273
182,438519,290336
181,438573,290398
180,438620,290437
179,438673,290498
178,438725,290551
177,,290606
176,438820,290659
175,438870,290707
174,438922,290746
173,438976,290800
172,439022,290852
171,439069,290901
170,439103,290952
169,439144,290998
168,439184,291033
167,439223,291076
166,439253,291113
165,439291,291158
164,439324,291199
163,439354,291231
162,439385,291266
161,439417,291297
160,439448,291329
159,439476,291365
158,439498,291402
157,439517,291430
156,439549,291450
155,439579,291482
154,439619,291515
153,439638,291536
152,439653,291566
151,439681,291596
150,439705,291619
149,439719,291638
148,439738,291660
147,439756,291679
146,439774,291696
145,439793,291718
144,439806,291736
143,439819,291757
142,439828,291769
141,439842,291780
