score,physics_rank
184,449633
183,449671
182,449698
181,449734
180,449769
179,449799
178,449837
177,449870
176,449908
175,449945
174,449978
173,450006
172,450042
171,450072
170,450103
169,450134
168,450169
167,450194
166,450221
165,450242
164,450268
163,450284
162,450306
161,450321
160,450351
159,450369
158,450398
157,450421
156,450440
155,450462
154,450479
153,450502
152,450517
151,450524
150,450537
149,450552
148,450566
147,450583
146,450599
145,450603
144,450611
143,450631
142,450641
141,450656
140,450666
139,450676
138,450686
137,450694
136,450704
135,450712
134,450724
133,450729
132,450736
131,450746
130,450752
129,450762
128,450771
127,450776
126,450786
125,450790
124,450801
123,450811
122,450818
121,450821
120,450830
119,450836
118,450843
117,450848
116,450857
115,450863
114,450870
113,450872
112,450877
111,450883
110,450889
109,450898
108,450903
107,450908
106,450913
105,450921
104,450929
103,450938
102,450948
101,450954
100,450961
